naziv_usluge;kategorija;varijanta;maloprodajna_cijena;valuta;posebni_oblik_prodaje;naziv_posebnog_oblika_prodaje;dodatna_cijena_10_09_2026
Baranjska ruža;Pizza;Normal;13.50;EUR;ne;;13.50
Baranjska ruža;Pizza;Jumbo;25.50;EUR;ne;;25.50
Bijela;Pizza;Normal;9.50;EUR;ne;;9.50
Bijela;Pizza;Jumbo;17.50;EUR;ne;;17.50
Capricciosa;Pizza;Normal;8.00;EUR;ne;;8.00
Capricciosa;Pizza;Jumbo;14.50;EUR;ne;;14.50
Chef;Pizza;Normal;12.50;EUR;ne;;12.50
Chef;Pizza;Jumbo;24.50;EUR;ne;;24.50
Frutti di mare;Pizza;Normal;10.00;EUR;ne;;10.00
Frutti di mare;Pizza;Jumbo;19.00;EUR;ne;;19.00
Fungi;Pizza;Normal;7.00;EUR;ne;;7.00
Fungi;Pizza;Jumbo;13.00;EUR;ne;;13.00
Gurmanska;Pizza;Normal;12.00;EUR;ne;;12.00
Gurmanska;Pizza;Jumbo;24.00;EUR;ne;;24.00
Margarita;Pizza;Normal;6.50;EUR;ne;;6.50
Margarita;Pizza;Jumbo;12.50;EUR;ne;;12.50
Meksikana;Pizza;Normal;9.00;EUR;ne;;9.00
Meksikana;Pizza;Jumbo;18.00;EUR;ne;;18.00
Olimpik;Pizza;Normal;10.50;EUR;ne;;10.50
Olimpik;Pizza;Jumbo;21.00;EUR;ne;;21.00
Pastirska;Pizza;Normal;11.00;EUR;ne;;11.00
Pastirska;Pizza;Jumbo;19.50;EUR;ne;;19.50
Pigalo;Pizza;Normal;9.50;EUR;ne;;9.50
Pigalo;Pizza;Jumbo;18.00;EUR;ne;;18.00
Piletina grill;Pizza;Normal;8.50;EUR;ne;;8.50
Piletina grill;Pizza;Jumbo;16.00;EUR;ne;;16.00
Pršut rikola;Pizza;Normal;9.50;EUR;ne;;9.50
Pršut rikola;Pizza;Jumbo;16.00;EUR;ne;;16.00
Quattro Formaggi;Pizza;Normal;8.00;EUR;ne;;8.00
Quattro Formaggi;Pizza;Jumbo;16.00;EUR;ne;;16.00
Slavonska;Pizza;Normal;9.00;EUR;ne;;9.00
Slavonska;Pizza;Jumbo;17.00;EUR;ne;;17.00
Kod Kuma;Pizza;Normal;10.00;EUR;ne;;10.00
Kod Kuma;Pizza;Jumbo;19.00;EUR;ne;;19.00
Tuna;Pizza;Normal;8.50;EUR;ne;;8.50
Tuna;Pizza;Jumbo;15.00;EUR;ne;;15.00
Vegetarijana;Pizza;Normal;8.50;EUR;ne;;8.50
Vegetarijana;Pizza;Jumbo;16.00;EUR;ne;;16.00
Vezuvio;Pizza;Normal;7.50;EUR;ne;;7.50
Vezuvio;Pizza;Jumbo;14.00;EUR;ne;;14.00
Piletina;Sendvič;Standard;7.50;EUR;ne;;7.50
Suhi vrat;Sendvič;Standard;7.00;EUR;ne;;7.00
Kulen;Sendvič;Standard;7.00;EUR;ne;;7.00
Pršut;Sendvič;Standard;7.50;EUR;ne;;7.50
Šunka;Sendvič;Standard;6.00;EUR;ne;;6.00
